Name,Gender,Department,Sum of Salary,Location,Rating,Gender_Status,Salary (bins)
Romona Dimmne,Female,Research and Development,48250,Kaduna,Poor,Female,40000
Romona Melody,Female,Services,88690,Lagos,Not Rated,Female,80000
Ronnie Mesias,Male,Support,86360,Kaduna,Very Poor,Male,80000
Ronnie Sinyard,Female,Legal,101760,Abuja,Good,Female,100000
Rory Ravenscroftt,Female,Accounting,45450,Kaduna,Very Good,Female,40000
Rosaline Wenderott,Female,Sales,36820,Abuja,Good,Female,30000
Rosamond Fishe,Male,Services,108160,Lagos,Good,Male,100000
Rosco Cogley,Male,Services,86840,Abuja,Average,Male,80000
Rose Shurrocks,Female,Research and Development,32140,Kaduna,Good,Female,30000
Roselle Wandrach,Male,Sales,91310,Abuja,Average,Male,90000
Roth Bourget,Male,Services,28870,Kaduna,Average,Male,20000
Royal Nowakowska,Male,Human Resources,79570,Kaduna,Average,Male,70000
Ruby Cracie,Male,Research and Development,78710,Kaduna,Poor,Male,70000
Rudyard Tomsa,Female,Marketing,43900,Kaduna,Good,Female,40000
Ruthanne Beadnell,Female,Accounting,103610,Kaduna,Poor,Female,100000
Ryon Baroch,Male,Accounting,43590,Abuja,Poor,Male,40000
Sabina Scorrer,Female,Support,70930,Kaduna,Average,Female,70000
Sammy Gantlett,Female,Product Management,74800,Lagos,Very Poor,Female,70000
Sandi Labat,Male,Sales,60140,Abuja,Average,Male,60000
Sandie Anthonies,Male,Legal,33410,Kaduna,Average,Male,30000
Sandy Cadden,Female,Legal,95980,Lagos,Average,Female,90000
Sarajane Peachey,Female,Marketing,107580,Abuja,Poor,Female,100000
Sarajane Scourge,Female,Business Development,58830,Abuja,Poor,Female,50000
Sarene Creeboe,Male,Product Management,35830,Kaduna,Average,Male,30000
Saunders Blumson,"",Legal,56370,Abuja,Average,Undisclosed,50000
Saunders Blumson,"",Legal,56370,Kaduna,Very Good,Undisclosed,50000
Saundra O'Connel,Male,Human Resources,85330,Abuja,Average,Male,80000
Selby Hacker,Male,Business Development,37800,Lagos,Average,Male,30000
Seward Kubera,Male,Engineering,43330,Abuja,Very Good,Male,40000
Shana Bewly,Female,Legal,105960,Abuja,Poor,Female,100000
Shannen Crittal,Female,Engineering,68040,Kaduna,Good,Female,60000
Shanon Deverell,Female,Research and Development,78180,Lagos,Very Good,Female,70000
Shari McNee,Male,Research and Development,75880,Lagos,Average,Male,70000
Shari Pickston,Male,Legal,96320,Abuja,Average,Male,90000
Shari Pickston,Male,Legal,96320,Lagos,Not Rated,Male,90000
Sharity Brands,Male,Product Management,104080,Abuja,Very Poor,Male,100000
Sharl Bendson,Female,Business Development,33630,Abuja,Poor,Female,30000
Sharron Petegree,Female,Product Management,87290,Kaduna,Good,Female,80000
Shaun Kyrkeman,Male,Product Management,35010,Kaduna,Average,Male,30000
Shay Chasney,Male,Human Resources,72550,Lagos,Average,Male,70000
Shaylah Owbrick,Male,Support,56900,Abuja,Average,Male,50000
Shaylyn Ransbury,Female,Support,100370,Abuja,Average,Female,100000
Shayne Stegel,Male,Business Development,70270,Abuja,Very Good,Male,70000
Shea Mix,Male,Research and Development,82680,Lagos,Very Poor,Male,80000
Sheff Gerdts,Male,Business Development,89160,Abuja,Average,Male,80000
Sheff Gerdts,Male,Business Development,89160,Lagos,Good,Male,80000
Shela Goade,Male,Legal,93930,Kaduna,Good,Male,90000
Shelbi Aldin,Female,Research and Development,40910,Abuja,Poor,Female,40000
Shelby Buckland,Male,Services,76390,Lagos,Average,Male,70000
Shelley Moncreiffe,Male,Sales,108360,Abuja,Average,Male,100000
Shellysheldon Ellerman,Female,Product Management,34470,Abuja,Good,Female,30000
Shellysheldon Mahady,Male,Training,114690,Lagos,Very Poor,Male,110000
Shirlene Argo,Female,Services,87210,Abuja,Not Rated,Female,80000
Sibyl Dunkirk,Female,Product Management,86570,Kaduna,Very Poor,Female,80000
Sile Whorton,Female,Legal,61210,Abuja,Average,Female,60000
Sile Whorton,Female,Legal,61210,Kaduna,Not Rated,Female,60000
Silva Monte,Male,Sales,52810,Abuja,Poor,Male,50000
Simon Kembery,Male,Training,99750,Lagos,Average,Male,90000
Sisely Gatsby,Female,Support,85670,Kaduna,Average,Female,80000
Sissy Muehle,Female,Accounting,86470,Kaduna,Average,Female,80000
Skip Morkham,Female,Marketing,83180,Kaduna,Average,Female,80000
Sly Cowley,Male,Accounting,48530,Abuja,Average,Male,40000
Stan Tolliday,Female,Sales,39540,Lagos,Average,Female,30000
Stefa Eggleston,Male,Sales,88380,Kaduna,Average,Male,80000
Stephan Bussel,Male,Research and Development,48290,Kaduna,Average,Male,40000
Steven Labat,Male,Legal,37110,Kaduna,Average,Male,30000
Stormy Church,Male,Research and Development,29880,Lagos,Very Poor,Male,20000
Susy Challoner,Female,Business Development,29890,Kaduna,Good,Female,20000
Tabbatha Pickston,Male,Marketing,72040,Abuja,Average,Male,70000
Tabbatha Pickston,Male,Marketing,72040,Abuja,Good,Male,70000
Taddeo Jovis,Female,Sales,98740,Abuja,Poor,Female,90000
Tadio Audritt,"",Human Resources,99450,Abuja,Average,Undisclosed,90000
Tadio Dowdle,Female,Product Management,91930,Kaduna,Average,Female,90000
Tallie Chaikovski,Male,Sales,83190,Lagos,Average,Male,80000
Tamar MacGilfoyle,Male,Product Management,47270,Kaduna,Average,Male,40000
Tamara Couvet,Female,Engineering,61050,Abuja,Average,Female,60000
Tammi Lackham,Female,Business Development,61690,Abuja,Good,Female,60000
Tammy Backson,Female,Marketing,44820,Abuja,Average,Female,40000
Tarrah Wordsworth,Female,Product Management,86340,Abuja,Poor,Female,80000
Tatum Hush,Female,Human Resources,53240,Abuja,Good,Female,50000
Tawnya Tickel,Male,Support,118840,Abuja,Not Rated,Male,110000
Thedrick Bothwell,Male,Business Development,69760,Kaduna,Average,Male,60000
Thedrick Rogeon,Male,Marketing,110950,Kaduna,Poor,Male,110000
Thekla Lynnett,Male,Training,53950,Lagos,Poor,Male,50000
Theresita Chasmer,Female,Product Management,106670,Lagos,Average,Female,100000
Thorvald Milliken,Female,Business Development,33030,Lagos,Good,Female,30000
Tiffani Mecozzi,Female,Training,119750,Lagos,Average,Female,110000
Timmi Durran,Male,Human Resources,68430,Abuja,Good,Male,60000
Timmy Brenston,Male,Business Development,43700,Lagos,Average,Male,40000
Toby Brodhead,Female,Accounting,98400,Lagos,Average,Female,90000
Toby Micklewright,Male,Legal,32980,Lagos,Not Rated,Male,30000
Torey Rosell,Male,Accounting,82670,Kaduna,Average,Male,80000
Torrance Collier,Female,Training,96140,Lagos,Good,Female,90000
Townie Dongall,Male,Legal,48630,Kaduna,Not Rated,Male,40000
Trace Sidsaff,Female,Accounting,51200,Kaduna,Poor,Female,50000
Tracy Renad,Female,Accounting,114890,Abuja,Average,Female,110000
Trey Jurges,Female,Legal,72360,Kaduna,Poor,Female,70000
Tris Hynard,Female,Product Management,29080,Kaduna,Average,Female,20000
Trix Lutsch,Male,Business Development,106400,Abuja,Poor,Male,100000
Trix Lutsch,Male,Business Development,106400,Lagos,Average,Male,100000
Trudie Couch,Female,Legal,43110,Lagos,Average,Female,40000
Twila Roantree,Female,Sales,96620,Lagos,Poor,Female,90000
Tyson Prescote,Male,Human Resources,29420,Kaduna,Average,Male,20000
Ulick Maingot,Female,Services,42820,Kaduna,Average,Female,40000
Valentia Etteridge,Female,Business Development,118100,Lagos,Average,Female,110000
Van Ruseworth,Female,Services,80610,Abuja,Average,Female,80000
Van Tuxwell,Female,Business Development,80700,Abuja,Good,Female,80000
Van Tuxwell,Female,Business Development,80700,Abuja,Poor,Female,80000
Vasily MacVanamy,Male,Human Resources,84470,Lagos,Average,Male,80000
Vassili Flay,"",Research and Development,108970,Abuja,Average,Undisclosed,100000
Vaughn Carvill,Female,Training,84750,Lagos,Average,Female,80000
Vere Kulic,Male,Legal,66570,Abuja,Poor,Male,60000
Verla Timmis,Male,Support,54140,Abuja,Average,Male,50000
Verney Sloegrave,Male,Sales,84500,Kaduna,Average,Male,80000
Vernor Atyea,Female,Training,102930,Kaduna,Good,Female,100000
Vic Radolf,Female,Product Management,62780,Abuja,Very Good,Female,60000
Violetta Vial,Male,Engineering,68970,Kaduna,Average,Male,60000
Virge Garfield,Male,Training,110890,Abuja,Poor,Male,110000
Virginia McConville,Female,Human Resources,76900,Abuja,Very Good,Female,70000
Vlad Strangeway,Male,Product Management,77740,Abuja,Good,Male,70000
Von Boeter,Male,Product Management,36370,Lagos,Good,Male,30000
Wald Bountiff,Female,Support,28970,Lagos,Very Good,Female,20000
Warner Carwithan,Female,Support,113760,Kaduna,Good,Female,110000
Wendel Malletratt,Male,Business Development,67660,Kaduna,Very Poor,Male,60000
Westbrook Brandino,Male,Legal,113620,Lagos,Poor,Male,110000
Willi Vasey,Female,Support,43020,Kaduna,Average,Female,40000
William Coveny,Male,Legal,66140,Abuja,Good,Male,60000
William Reeveley,Male,Training,107740,Abuja,Good,Male,50000
Wilone O'Kielt,Female,Business Development,114870,Lagos,Not Rated,Female,110000
Wilt Wayvill,Female,Legal,99750,Kaduna,Average,Female,90000
Win Arthurs,Female,Support,43200,Abuja,Average,Female,40000
Win Arthurs,Female,Support,43200,Abuja,Very Good,Female,40000
Winny Millam,Female,Business Development,94050,Lagos,Not Rated,Female,90000
Wyatt Clinch,Male,Engineering,52590,Lagos,Good,Male,50000
Wyn Treadger,Female,Business Development,69190,Abuja,Average,Female,60000
Wyn Treadger,Female,Business Development,69190,Kaduna,Good,Female,60000
Xavier Filipic,Female,Marketing,31050,Kaduna,Good,Female,30000
Xylina Pargetter,Female,Legal,109790,Kaduna,Average,Female,100000
Yanaton Wooster,Male,Marketing,76930,Abuja,Average,Male,70000
Yasmeen Klimkiewich,Female,Legal,48140,Abuja,Very Good,Female,40000
Yolande O'Dare,Female,Accounting,51650,Abuja,Good,Female,50000
Yoshiko Tamblingson,Male,Sales,29590,Kaduna,Good,Male,20000
Yves Clunie,Female,Marketing,75440,Lagos,Average,Female,70000
Yves Pawlik,Male,Accounting,57930,Abuja,Very Good,Male,50000
Yvette Bett,Male,Human Resources,76320,Lagos,Good,Male,70000
Zach Polon,Male,Marketing,53540,Kaduna,Poor,Male,50000
Zebulon Allmen,"",Business Development,52140,Abuja,Average,Undisclosed,50000
